status,employee id,employee email,employee first name,employee last name,start date,end date,employee job title,annual salary (usd),benefits and others,bonus target - % of salary,commission - % of salary,cost center,equity,function,job family,job level,job location,manager’s employee id,okr,employment type
ACTIVE,E000199,dfdemostagingSheldon.Robles@gmail.com,Sheldon,Robles,9/1/2018,,FE Engineer,47968,7106,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Mid-level,Europe - Krakow,E000027,,Permanent Full-time
ACTIVE,E000200,dfdemostagingIreland.Rice@gmail.com,Ireland,Rice,9/1/2018,,Associate Account Executive,63822,11604,0.30,0.00,401 - Sales,17964,Sales,Sales,Associate,US - Remote,E000027,,Permanent Full-time
ACTIVE,E000201,dfdemostagingTyrell.Shields@gmail.com,Tyrell,Shields,9/1/2018,,Senior FE Engineer,52444,7652,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Senior,Europe - Krakow,E000200,,Permanent Full-time
ACTIVE,E000202,dfdemostagingKaila.Robles@gmail.com,Kaila,Robles,9/1/2018,,Principal FE Engineer,95062,13692,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/FE,Principal,US - Remote,E000028,,Permanent Full-time
ACTIVE,E000203,dfdemostagingIreland.Golden@gmail.com,Ireland,Golden,9/1/2018,,Engineering Director,126490,15616,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/Management,Director,US - SF Bay Area,E000028,,Permanent Full-time
ACTIVE,E000204,dfdemostagingZack.Fowler@gmail.com,Zack,Fowler,9/1/2018,,Senior FE Engineer,52444,7652,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Senior,Europe - Krakow,E000028,,Permanent Full-time
ACTIVE,E000205,dfdemostagingAntoine.Perez@gmail.com,Antoine,Perez,9/1/2018,,Senior Account Executive,75794,13398,0.30,0.00,401 - Sales,17964,Sales,Sales,Senior,US - Remote,E000028,,Permanent Full-time
ACTIVE,E000206,dfdemostagingWyatt.Cochran@gmail.com,Wyatt,Cochran,9/1/2018,,Marketing Communications Manager,78518,11352,0.30,0.00,500 - Marketing,17964,Marketing,Marketing/Marketing communications,Mid-level,US - SF Bay Area,E000028,,Permanent Full-time
ACTIVE,E000207,dfdemostagingSheldon.Hanna@gmail.com,Sheldon,Hann’a,9/1/2018,,BE Engineer,48065,7121,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/BE,Mid-level,Europe - Krakow,E000028,,Permanent Full-time
ACTIVE,E000208,dfdemostagingPaulina.Fowler@gmail.com,Paulina,Fowler,9/1/2018,,Senior FE Engineer,52444,7652,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Senior,Europe - Krakow,E000028,,Permanent Full-time
ACTIVE,E000209,dfdemostagingYesenia.Tapia@gmail.com,Yesenia,Tapia,9/1/2018,,Account Executive,69914,12519,0.30,0.00,401 - Sales,17964,Sales,Sales,Mid-level,US - Remote,E000029,,Permanent Full-time
ACTIVE,E000210,dfdemostagingRyan.Young@gmail.com,Ryan,Young,9/1/2018,,Marketing Associate - SEO/SEM,70741,10417,0.30,0.00,500 - Marketing,17964,Marketing,Marketing/SEO-SEM,Associate,US - Remote,E000029,,Permanent Full-time
ACTIVE,E000211,dfdemostagingAbigail.Moody@gmail.com,Abigail,Moody,9/1/2018,,Talent Acquisition Manager,98490,14070,0.30,0.00,700 - Admin,17964,Administrative,Administrative/Talent Acquisition,Manager,US - Remote,E000029,,Permanent Full-time
ACTIVE,E000212,dfdemostagingJustine.Shields@gmail.com,Justine,Shields,9/1/2018,,Associate Product Designer,68164,10681,0.30,0.00,300 - Product,17964,Product,Design,Associate,US - Remote,E000029,,Permanent Full-time
ACTIVE,E000213,dfdemostagingIreland.Cochran@gmail.com,Ireland,Cochran,9/1/2018,,Director of Customer Success,101733,15184,0.30,0.00,402 - Cust Success,17964,Sales,Customer Success,Director,US - Remote,E000029,,Permanent Full-time
ACTIVE,E000214,dfdemostagingAlbert.Rice@gmail.com,Albert,Rice,9/1/2018,,Director of Customer Success,101733,15184,0.30,0.00,402 - Cust Success,17964,Sales,Customer Success,Director,US - Remote,E000029,,Permanent Full-time
ACTIVE,E000215,dfdemostagingLily.Guzman@gmail.com,Lily,Guzman,9/1/2018,,Principal Product Manager,95645,13608,0.30,0.00,300 - Product,17964,Product,Product Management,Principal,US - Remote,E000029,,Permanent Full-time
ACTIVE,E000216,dfdemostagingTyrell.Fowler@gmail.com,Tyrell,Fowler,9/1/2018,,FE Engineer,48114,7128,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Mid-level,Europe - Krakow,E000030,,Permanent Full-time
ACTIVE,E000217,dfdemostagingRyann.Galloway@gmail.com,Ryann,Galloway,9/1/2018,,Senior FE Engineer,52391,7644,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Senior,Europe - Krakow,E000030,,Permanent Full-time
ACTIVE,E000218,dfdemostagingAntoine.Villarreal@gmail.com,Antoine,Villarreal,9/1/2018,,Associate Customer Success Manager,63784,11424,0.30,0.00,402 - Cust Success,17964,Sales,Customer Success,Associate,US - Remote,E000030,,Permanent Full-time
ACTIVE,E000219,dfdemostagingKaila.Rhodes@gmail.com,Kaila,Rhodes,9/1/2018,,FE Engineer,48017,7114,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Mid-level,Europe - Krakow,E000030,,Permanent Full-time
ACTIVE,E000220,dfdemostagingKaila.Greene@gmail.com,Kaila,Greene,9/1/2018,,BE Engineer,48065,7121,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/BE,Mid-level,Europe - Krakow,E000030,,Permanent Full-time
ACTIVE,E000221,dfdemostagingAdalyn.Moody@gmail.com,Adalyn,Moody,9/1/2018,,VP of Product Management,143762,16558,0.30,0.00,300 - Product,17964,Product,Product Management,VP,US - SF Bay Area,E000030,,Permanent Full-time
ACTIVE,E000222,dfdemostagingWyatt.Rhodes@gmail.com,Wyatt,Rhodes,9/1/2018,,Senior Product Designer,83226,12610,0.30,0.00,300 - Product,17964,Product,Design,Senior,US - Remote,E000030,,Permanent Full-time
ACTIVE,E000223,dfdemostagingRyan.Mcfarland@gmail.com,Ryan,Mcfarland,9/1/2018,,Associate Account Executive,63756,11592,0.30,0.00,401 - Sales,17964,Sales,Sales,Associate,US - Remote,E000031,,Permanent Full-time
ACTIVE,E000224,dfdemostagingRoderick.Mayo@gmail.com,Roderick,Mayo,9/1/2018,,BE Engineer,80352,11904,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/BE,Mid-level,US - SF Bay Area,E000031,,Permanent Full-time
ACTIVE,E000225,dfdemostagingChanel.Coleman@gmail.com,Chanel,Coleman,9/1/2018,,employee job title,annual salary (usd),benefits and others,0.30,0.00,cost center,17964,function,job family,job level,job location,E000031,,Permanent Full-time
ACTIVE,E000226,dfdemostagingKatelyn.Perez@gmail.com,Katelyn,Perez,9/1/2018,,Associate Customer Success Manager,63851,11436,0.30,0.00,402 - Cust Success,17964,Sales,Customer Success,Associate,US - Remote,E000031,,Permanent Full-time
ACTIVE,E000227,dfdemostagingRyann.Tapia@gmail.com,Ryann,Tapia,9/1/2018,,Associate Account Executive,63690,11580,0.30,0.00,401 - Sales,17964,Sales,Sales,Associate,US - Remote,E000031,,Permanent Full-time
ACTIVE,E000228,dfdemostagingEvangeline.Middleton@gmail.com,Evangeline,Middleton,9/1/2018,,Senior Account Executive,75874,13412,0.30,0.00,401 - Sales,17964,Sales,Sales,Senior,US - Remote,E000031,,Permanent Full-time
ACTIVE,E000229,dfdemostagingKamila.Fowler@gmail.com,Kamila,Fowler,9/1/2018,,Senior BE Engineer,87764,12805,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/BE,Senior,US - Remote,E000031,,Permanent Full-time
ACTIVE,E000230,dfdemostagingCortez.Rice@gmail.com,Cortez,Rice,9/1/2018,,Engineering Director,126360,15600,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/Management,Director,US - Boston,E000032,,Permanent Full-time
ACTIVE,E000231,dfdemostagingKatelyn.Lester@gmail.com,Katelyn,Lester,9/1/2018,,Principal Product Manager,95645,13608,0.30,0.00,300 - Product,17964,Product,Product Management,Principal,US - Remote,E000032,,Permanent Full-time
ACTIVE,E000232,dfdemostagingMarques.Villarreal@gmail.com,Marques,Villarreal,9/1/2018,,Human Resources Manager,98595,14085,0.30,0.00,700 - Admin,17964,Administrative,Administrative/Human Resources,Manager,US - SF Bay Area,E000032,,Permanent Full-time
ACTIVE,E000233,dfdemostagingZack.Sanchez@gmail.com,Zack,Sanchez,9/1/2018,,Senior Full Stack Engineer,87496,12766,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/Full stack,Senior,US - Boston,E000032,,Permanent Full-time
ACTIVE,E000234,dfdemostagingEmerson.Greene@gmail.com,Emerson,Greene,9/1/2018,,Senior Account Executive,75953,13426,0.30,0.00,401 - Sales,17964,Sales,Sales,Senior,US - SF Bay Area,E000032,,Permanent Full-time
ACTIVE,E000235,dfdemostagingTyrell.Rhodes@gmail.com,Tyrell,Rhodes,9/1/2018,,Senior Product Marketing Manager,86187,12272,0.30,0.00,500 - Marketing,17964,Marketing,Marketing/Product Marketing,Senior,US - SF Bay Area,E000032,,Permanent Full-time
ACTIVE,E000236,dfdemostagingAiden.Cochran@gmail.com,Aiden,Cochran,9/1/2018,,BE Engineer,80352,11904,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/BE,Mid-level,US - SF Bay Area,E000032,,Permanent Full-time
ACTIVE,E000237,dfdemostagingWyatt.Rice@gmail.com,Wyatt,Rice,9/1/2018,,Senior Product Designer,83226,12610,0.30,0.00,300 - Product,17964,Product,Design,Senior,US - Remote,E000033,,Permanent Full-time
ACTIVE,E000238,dfdemostagingDakota.Fowler@gmail.com,Dakota,Fowler,9/1/2018,,FE Engineer,48017,7114,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Mid-level,Europe - Krakow,E000033,,Permanent Full-time
ACTIVE,E000239,dfdemostagingKaila.Cochran@gmail.com,Kaila,Cochran,9/1/2018,,Accounting Manager,104075,14115,0.30,0.00,600 - Finance,17964,Finance,Accounting,Manager,US - SF Bay Area,E000033,,Permanent Full-time
ACTIVE,E000240,dfdemostagingRoderick.Middleton@gmail.com,Roderick,Middleton,9/1/2018,,Senior Full Stack Engineer,87496,12766,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/Full stack,Senior,US - Boston,E000033,,Permanent Full-time
ACTIVE,E000241,dfdemostagingPaulina.Moody@gmail.com,Paulina,Moody,9/1/2018,,Senior FE Engineer,78907,11513,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/FE,Senior,Asia - Singapore,E000033,,Permanent Full-time
ACTIVE,E000242,dfdemostagingRyan.Vasquez@gmail.com,Ryan,Vasquez,9/1/2018,,Associate Product Designer,68164,10681,0.30,0.00,300 - Product,17964,Product,Design,Associate,US - Remote,E000033,,Permanent Full-time
ACTIVE,E000243,dfdemostagingBailee.Shields@gmail.com,Bailee,Shields,9/1/2018,,Senior BE Engineer,87853,12818,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/BE,Senior,US - SF Bay Area,E000033,,Permanent Full-time
ACTIVE,E000244,dfdemostagingMalaki.Robles@gmail.com,Malaki,Robles,9/1/2018,,Senior Account Executive,75953,13426,0.30,0.00,401 - Sales,17964,Sales,Sales,Senior,US - SF Bay Area,E000034,,Permanent Full-time
ACTIVE,E000245,dfdemostagingSheldon.Galloway@gmail.com,Sheldon,Galloway,9/1/2018,,Accounting Manager,104075,14115,0.30,0.00,600 - Finance,17964,Finance,Accounting,Manager,US - SF Bay Area,E000034,,Permanent Full-time
ACTIVE,E000246,dfdemostagingLyla.Rice@gmail.com,Lyla,Rice,9/1/2018,,Associate Account Executive,63888,11616,0.30,0.00,401 - Sales,17964,Sales,Sales,Associate,US - Remote,E000034,,Permanent Full-time
ACTIVE,E000247,dfdemostagingJustine.Coleman@gmail.com,Justine,Coleman,9/1/2018,,Engineering Director,126360,15600,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/Management,Director,US - Boston,E000034,,Permanent Full-time
ACTIVE,E000248,dfdemostagingMarques.Greene@gmail.com,Marques,Greene,9/1/2018,,Senior Account Executive,75953,13426,0.30,0.00,401 - Sales,17964,Sales,Sales,Senior,US - SF Bay Area,E000034,,Permanent Full-time
ACTIVE,E000249,dfdemostagingSheldon.Fowler@gmail.com,Sheldon,Fowler,9/1/2018,,Senior BE Engineer,87764,12805,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/BE,Senior,US - Remote,E000034,,Permanent Full-time
ACTIVE,E000250,dfdemostagingPaulina.Coleman@gmail.com,Paulina,Coleman,9/1/2018,,Associate Account Executive,63690,11580,0.30,0.00,401 - Sales,17964,Sales,Sales,Associate,US - Remote,E000034,,Permanent Full-time
ACTIVE,E000251,dfdemostagingKaila.Hanna@gmail.com,Kaila,Hanna,9/1/2018,,FE Engineer,48114,7128,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Mid-level,Europe - Krakow,E000035,,Permanent Full-time
ACTIVE,E000252,dfdemostagingIreland.Greene@gmail.com,Ireland,Greene,9/1/2018,,Associate Customer Success Manager,63985,11460,0.30,0.00,402 - Cust Success,17964,Sales,Customer Success,Associate,US - Remote,E000035,,Permanent Full-time
ACTIVE,E000253,dfdemostagingLily.Galloway@gmail.com,Lily,Galloway,9/1/2018,,Associate Account Executive,63756,11592,0.30,0.00,401 - Sales,17964,Sales,Sales,Associate,US - Remote,E000035,,Permanent Full-time
ACTIVE,E000254,dfdemostagingYesenia.Galloway@gmail.com,Yesenia,Galloway,9/1/2018,,Senior FE Engineer,52444,7652,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Senior,Europe - Krakow,E000035,,Permanent Full-time
ACTIVE,E000255,dfdemostagingRoderick.Tapia@gmail.com,Roderick,Tapia,9/1/2018,,Principal Product Manager,95645,13608,0.30,0.00,300 - Product,17964,Product,Product Management,Principal,US - Remote,E000035,,Permanent Full-time
ACTIVE,E000256,dfdemostagingRoderick.Villarreal@gmail.com,Råderick,Villarreal,9/1/2018,,Accounting Manager,104075,14115,0.30,0.00,600 - Finance,17964,Finance,Accounting,Manager,US ‐ SF Bay Area,E000035,,Permanent Full-time
ACTIVE,E000257,dfdemostagingChanel.Ingram@gmail.com,Chanel,Ingram,9/1/2018,,Accounting Manager,104075,14115,0.30,0.00,600 - Finance,17964,Finance,Accounting,Manager,US - SF Bay Area,E000035,,Permanent Full-time
ACTIVE,E000258,dfdemostagingMarques.Guzman@gmail.com,Marques,Guzman,9/1/2018,,Senior Account Executive,75953,13426,0.30,0.00,401 - Sales,17964,Sales,Sales,Senior,US - SF Bay Area,E000036,,Permanent Full-time
ACTIVE,E000259,dfdemostagingRyan.Cochran@gmail.com,Ryan,Cochran,9/1/2018,,Product Marketing Manager,78435,11340,0.30,0.00,500 - Marketing,17964,Marketing,Marketing/Product Marketing,Mid-level,US - Boston,E000036,,Permanent Full-time
ACTIVE,E000260,dfdemostagingRoderick.Sanchez@gmail.com,Roderick,Sanchez,9/1/2018,,Associate Customer Success Manager,63851,11436,0.30,0.00,402 - Cust Success,17964,Sales,Customer Success,Associate,US - Remote,E000036,,Permanent Full-time
ACTIVE,E000261,dfdemostagingEvangeline.Underwood@gmail.com,Evangeline,Underwood,9/1/2018,,Principal FE Engineer,95062,13692,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/FE,Principal,US - Remote,E000036,,Permanent Full-time
ACTIVE,E000262,dfdemostagingKamila.Cochran@gmail.com,Kamila,Cochran,9/1/2018,,Principal Product Manager,95645,13608,0.30,0.00,300 - Product,17964,Product,Product Management,Principal,US - Remote,E000036,,Permanent Full-time
ACTIVE,E000263,dfdemostagingAlbert.Cooper@gmail.com,Albert,Cooper,9/1/2018,,Marketing Communications Manager,78518,11352,0.30,0.00,500 - Marketing,17964,Marketing,Marketing/Marketing communications,Mid-level,US - SF Bay Area,E000036,,Permanent Full-time
ACTIVE,E000264,dfdemostagingRyan.Robles@gmail.com,Ryan,Robles,9/1/2018,,Full Stack Engineer,80433,11916,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/Full stack,Mid-level,US - SF Bay Area,E000036,,Permanent Full-time
ACTIVE,E000265,dfdemostagingKaylen.Moody@gmail.com,Kaylen,Moody,9/1/2018,,FE Engineer,47968,7106,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Mid-level,Europe - Krakow,E000037,,Permanent Full-time
ACTIVE,E000266,dfdemostagingLyla.Moody@gmail.com,Lyla,Moody,9/1/2018,,Senior BE Engineer,87853,12818,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/BE,Senior,US - SF Bay Area,E000037,,Permanent Full-time
ACTIVE,E000267,dfdemostagingSheldon.Rasmussen@gmail.com,Sheldon,Rasmussen,9/1/2018,,General Counsel,112440,14992,0.30,0.00,700 - Admin,17964,Administrative,Administrative/Legal,Director,US - SF Bay Area,E000037,,Permanent Full-time
ACTIVE,E000268,dfdemostagingRyann.Robles@gmail.com,Ryann,Robles,9/1/2018,,Full Stack Engineer,81000,12000,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/Full stack,Mid-level,US - Remote,E000037,,Permanent Full-time
ACTIVE,E000269,dfdemostagingUlises.Cooper@gmail.com,Ulises,Cooper,9/1/2018,,Associate Customer Success Manager,63851,11436,0.30,0.00,402 - Cust Success,17964,Sales,Customer Success,Associate,US - Remote,E000037,,Permanent Full-time
ACTIVE,E000270,dfdemostagingMarques.Tapia@gmail.com,Marques,Tapia,9/1/2018,,Account Executive,69769,12493,0.30,0.00,401 - Sales,17964,Sales,Sales,Mid-level,US - Boston,E000037,,Permanent Full-time
ACTIVE,E000271,dfdemostagingAdalyn.Lane@gmail.com,Adalyn,Lane,9/1/2018,,Senior Financial Analyst,81860,12246,0.30,0.00,600 - Finance,17964,Finance,Finance/FP&A,Senior,US - SF Bay Area,E000037,,Permanent Full-time
ACTIVE,E000272,dfdemostagingDakota.Hanna@gmail.com,Dakota,Hanna,9/1/2018,,Senior BE Engineer,52337,7636,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/BE,Senior,Europe - Krakow,E000038,,Permanent Full-time
ACTIVE,E000273,dfdemostagingCortez.Golden@gmail.com,Cortez,Golden,9/1/2018,,Principal Product Manager,95645,13608,0.30,0.00,300 - Product,17964,Product,Product Management,Principal,US - Remote,E000038,,Permanent Full-time
ACTIVE,E000274,dfdemostagingSheldon.Rice@gmail.com,Sheldon,Rice,9/1/2018,,Principal FE Engineer,95062,13692,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/FE,Principal,US - Remote,E000038,,Permanent Full-time
ACTIVE,E000275,dfdemostagingEvangeline.Mayo@gmail.com,Evangeline,Mayo,9/1/2018,,Full Stack Engineer,81000,12000,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/Full stack,Mid-level,US - Remote,E000038,,Permanent Full-time
ACTIVE,E000276,dfdemostagingUlises.Sanchez@gmail.com,Ulises,Sanchez,9/1/2018,,Associate Customer Success Manager,63918,11448,0.30,0.00,402 - Cust Success,17964,Sales,Customer Success,Associate,US - Remote,E000038,,Permanent Full-time
ACTIVE,E000277,dfdemostagingWyatt.Hanna@gmail.com,Wyatt,Hanna,9/1/2018,,Human Resources Manager,98595,14085,0.30,0.00,700 - Admin,17964,Administrative,Administrative/Human Resources,Manager,US - SF Bay Area,E000038,,Permanent Full-time
ACTIVE,E000278,dfdemostagingRoderick.Lane@gmail.com,Roderick,Lane,9/1/2018,,Senior Product Designer,83226,12610,0.30,0.00,300 - Product,17964,Product,Design,Senior,US - Remote,E000038,,Permanent Full-time
ACTIVE,E000279,dfdemostagingTyrell.Coleman@gmail.com,Tyrell,Coleman,9/1/2018,,Marketing Communications Manager,78518,11352,0.30,0.00,500 - Marketing,17964,Marketing,Marketing/Marketing communications,Mid-level,US - SF Bay Area,E000039,,Permanent Full-time
ACTIVE,E000280,dfdemostagingRoderick.Perez@gmail.com,Roderick,Perez,9/1/2018,,Senior Product Designer,83226,12610,0.30,0.00,300 - Product,17964,Product,Design,Senior,US - Remote,E000039,,Permanent Full-time
ACTIVE,E000281,dfdemostagingWyatt.Middleton@gmail.com,Wyatt,Middleton,9/1/2018,,Product Marketing Manager,78435,11340,0.30,0.00,500 - Marketing,17964,Marketing,Marketing/Product Marketing,Mid-level,US - Boston,E000039,,Permanent Full-time
ACTIVE,E000282,dfdemostagingIreland.Gentry@gmail.com,Ireland,Gentry,9/1/2018,,Associate Account Executive,63624,11568,0.30,0.00,401 - Sales,17964,Sales,Sales,Associate,US - Remote,E000039,,Permanent Full-time
ACTIVE,E000283,dfdemostagingLily.Kline@gmail.com,Lily,Kline,9/1/2018,,FE Engineer,72463,10735,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/FE,Mid-level,Asia - Singapore,E000039,,Permanent Full-time
ACTIVE,E000284,dfdemostagingTyrell.Guzman@gmail.com,Tyrell,Guzman,9/1/2018,,Senior FE Engineer,52391,7644,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Senior,Europe - Krakow,E000039,,Permanent Full-time
ACTIVE,E000285,dfdemostagingLyla.Lester@gmail.com,Lyla,Lester,9/1/2018,,Account Executive,69769,12493,0.30,0.00,401 - Sales,17964,Sales,Sales,Mid-level,US - Boston,E000039,,Permanent Full-time
ACTIVE,E000286,dfdemostagingKamila.Kline@gmail.com,Kamila,Kline,9/1/2018,,Associate Account Executive,63624,11568,0.30,0.00,401 - Sales,17964,Sales,Sales,Associate,US - Remote,E000040,,Permanent Full-time
ACTIVE,E000287,dfdemostagingAdalyn.Rasmussen@gmail.com,Adalyn,Rasmussen,9/1/ 2018,,Senior BE Engineer,87853,12818,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/BE,Senior,US - SF Bay Area,E000040,,Permanent Full-time
ACTIVE,E000288,dfdemostagingRoderick.Cochran@gmail.com,Roderick,Cochran,9/1/2018,,Account Executive,69769,12493,0.30,0.00,401 - Sales,17964,Sales,Sales,Mid-level,US - Boston,E000040,,Permanent Full-time
ACTIVE,E000289,dfdemostagingPaulina.Kline@gmail.com,Paulina,Kline,9/1/2018,,Senior Product Marketing Manager,86187,12272,0.30,0.00,500 - Marketing,17964,Marketing,Marketing/Product Marketing,Senior,US - SF Bay Area,E000040,,Permanent Full-time
ACTIVE,E000290,dfdemostagingBailee.Coleman@gmail.com,Bailee,Coleman,9/1/2018,,Associate Account Executive,63690,11580,0.30,0.00,401 - Sales,17964,Sales,Sales,Associate,US - Remote,E000040,,Permanent Full-time
ACTIVE,E000291,dfdemostagingMarques.Underwood@gmail.com,Marques,Underwood,9/1/2018,,Senior BE Engineer,87764,12805,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/BE,Senior,US - Remote,E000040,,Permanent Full-time
ACTIVE,E000292,dfdemostagingKamila.Golden@gmail.com,Kamila,Golden,9/1/2018,,Associate Customer Success Manager,63851,11436,0.30,0.00,402 - Cust Success,17964,Sales,Customer Success,Associate,US - Remote,E000040,,Permanent Full-time
ACTIVE,E000293,dfdemostagingWyatt.Coleman@gmail.com,Wyatt,Coleman,9/1/2018,,Associate Account Executive,63888,11616,0.30,0.00,401 - Sales,17964,Sales,Sales,Associate,US - Remote,E000041,,Permanent Full-time
ACTIVE,E000294,dfdemostagingAdalyn.Guzman@gmail.com,Adalyn,Guzman,9/1/2018,,VP of Sales,113573,16252,0.30,0.00,401 - Sales,17964,Sales,Sales,VP,US - Boston,E000041,,Permanent Full-time
ACTIVE,E000295,dfdemostagingLily.Fowler@gmail.com,Lily,Fowler,9/1/2018,,Senior Product Designer,83226,12610,0.30,0.00,300 - Product,17964,Product,Design,Senior,US - Remote,E000041,,Permanent Full-time
ACTIVE,E000296,dfdemostagingAiden.Underwood@gmail.com,Aiden,Underwood,9/1/2018,,BE Engineer,80352,11904,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/BE,Mid-level,US - SF Bay Area,E000041,,Permanent Full-time
ACTIVE,E000297,dfdemostagingEmerson.Rasmussen@gmail.com,Emerson,Rasmussen,9/1/2018,,Account Executive,69841,12506,0.30,0.00,401 - Sales,17964,Sales,Sales,Mid-level,US - Remote,E000041,,Permanent Full-time
ACTIVE,E000298,dfdemostagingTyrell.Ingram@gmail.com,Tyrell,Ingram,9/1/2018,,Associate Account Executive,63756,11592,0.30,0.00,401 - Sales,17964,Sales,Sales,Associate,US - Remote,E000041,,Permanent Full-time
ACTIVE,E000299,dfdemostagingChanel.Mcfarland@gmail.com,Chanel,Mcfarland,9/1/2018,,Human Resources Manager,98595,14085,0.30,0.00,700 - Admin,17964,Administrative,Administrative/Human Resources,Manager,US - SF Bay Area,E000041,,Permanent Full-time
ACTIVE,E000300,dfdemostagingEvangeline.Guzman@gmail.com,Evangeline,Guzman,9/1/2018,,Associate Account Executive,63690,11580,0.30,0.00,401 - Sales,17964,Sales,Sales,Associate,US - Remote,E000042,,Permanent Full-time
ACTIVE,E000301,dfdemostagingLily.Ingram@gmail.com,Lily,Ingram,9/1/2018,,BE Engineer,80352,11904,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/BE,Mid-level,US - SF Bay Area,E000042,,Permanent Full-time
ACTIVE,E000302,dfdemostagingRyan.Perez@gmail.com,Ryan,Perez,9/1/2018,,BE Engineer,48065,7121,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/BE,Mid-level,Europe - Krakow,E000042,,Permanent Full-time
ACTIVE,E000303,dfdemostagingIreland.Rhodes@gmail.com,Ireland,Rhodes,9/1/2018,,Accounting Manager,104075,14115,0.30,0.00,600 - Finance,17964,Finance,Accounting,Manager,US - SF Bay Area,E000042,,Permanent Full-time
ACTIVE,E000304,dfdemostagingKamila.Coleman@gmail.com,Kamila,Coleman,9/1/2018,,FE Engineer,48017,7114,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Mid-level,Europe - Krakow,E000042,,Permanent Full-time
ACTIVE,E000305,dfdemostagingEmerson.Mayo@gmail.com,Emerson,Mayo,9/1/2018,,FE Engineer,48017,7114,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Mid-level,Europe - Krakow,E000042,,Permanent Full-time
ACTIVE,E000306,dfdemostagingRyan.Gentry@gmail.com,Ryan,Gentry,9/1/2018,,Product Marketing Manager,78435,11340,0.30,0.00,500 - Marketing,17964,Marketing,Marketing/Product Marketing,Mid-level,US ‐ Boston,E000042,,Permanent Full-time
ACTIVE,E000307,dfdemostagingAdalyn.Cooper@gmail.com,Adalyn,Cooper,9/1/2018,,FE Engineer,48114,7128,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Mid-level,Europe - Krakow,E000043,,Permanent Full-time
ACTIVE,E000308,dfdemostagingAlbert.Sanchez@gmail.com,Albert,Sanchez,9/1/2018,,Senior FE Engineer,78907,11513,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/FE,Senior,Asia - Singapore,E000043,,Permanent Full-time
ACTIVE,E000309,dfdemostagingTyrell.Greene@gmail.com,Tyrell,Greene,9/1/2018,,FE Engineer,47968,7106,0.30,0.00,202 - Eng B2C,17964,Engineering,Engineering/FE,Mid-level,Europe - Krakow,E000043,,Permanent Full-time
ACTIVE,E000310,dfdemostagingSheldon.Moody@gmail.com,Sheldon,Moody,9/1/2018,,Senior FE Engineer,78827,11501,0.30,0.00,201 - Eng B2B,17964,Engineering,Engineering/FE,Senior,Asia - Singapore,E000043,,Permanent Full-time
